id,front,back,status,tags
285,"In contrast to older children and teenagers, the most common neoplastic diseases among children under 5 years of age include:","Answer: C: acute lymphoblastic leukaemia, neuroblastoma, Wilms’ tumour Explanation: Exam anchor: acute lymphoblastic leukaemia, neuroblastoma, Wilms’ tumour. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
286,"A 3-year-old boy was admitted to emergency dept. due to high fever of > 39.5°C lasting for two days, abdominal pain, apathy, lack of appetite and urine odour. Urinalysis showed leukocyturia and the presence of nitrites. Indicate appropriate treatment:","Answer: C: second- or third-generation cephalosporin, intravenously, orally or sequentially Explanation: Exam anchor: second- or third-generation cephalosporin, intravenously, orally or sequentially. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
287,"A 6-month-old infant was admitted to emergency dept. because of inexhaustible cry and anxiety persisting for 3 hours. The parents observed leg curling and pale skin. The child refused to take food and vomited twice since the morning. Physical examination revealed abdominal bloating and some palpable mass in the abdomen, normal body temperature, and a trace of “currant jelly- like” stool on a diaper. What is the most likely diagnosis?",Answer: E: intussusception Explanation: Exam anchor: intussusception. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
288,Indicate true statements regarding measles: 1) IgM antibodies appear after 1-2 days of rash; 2) vitamin A at high doses can be recommended for treatment; 3) ascending macular and maculopapular rash is typical; 4) the risk for subacute sclerosing panencephalitis is higher when the infection occurs within the first few years of life; 5) the period of infectivity lasts for up to 5 days after rash resolution,"Answer: B: 1,2,4 Caveat: Legacy A calls the measles rash ascending. It is cephalocaudal/descending. IgM appears around the first days of rash, vitamin A is recommended in paediatric measles care, and early-childhood infection increases SSPE risk -> 1,2,4 = B. Explanation: Measles = fever, cough, coryza, conjunctivitis, Koplik spots, then a cephalocaudal maculopapular rash.",caveat/updated,pediatrics leks 2026 caveat_updated
289,Which of the vaccinations within the scope of the Preventive Vaccination Programme are included in the list of vaccinations recommended for medical personnel at the paediatric ward: 1) against hepatitis A virus (HAV); 2) against hepatitis B virus (HBV); 3) against influenza; 4) against pertussis; 5) against Neisseria meningitidis,"Answer: D: 2,3,4 Caveat: The source visibly keys A but the A option text is missing. Current Polish occupational guidance consistently prioritizes HepB, seasonal influenza and pertussis for healthcare personnel; meningococcal vaccine is exposure/risk-specific -> displayed D (2,3,4). Explanation: SOURCE LAYOUT CORRECTION: option A is absent in the PDF. The defensible answer is the displayed D combination (2,3,4).",caveat/updated,pediatrics leks 2026 caveat_updated
290,"A mother of a 5-month-old infant reports to have fever and cough lasting for 3 days. On the day of examination, type B influenza was diagnosed (confirmed by rapid test result). The mother is breastfeeding and was vaccinated against flu while pregnant. Indicate relevant treatment in relation to the child’s exposure to influenza:","Answer: A: post-exposure prophylaxis using oseltamivir, at 3 mg/kg body weight, in view of the protective benefits for the child Explanation: Oseltamivir post-exposure prophylaxis is an option for high-risk infants/children after close influenza exposure when started promptly; exact dosing/duration is age- and guideline-dependent.",caveat/updated,pediatrics leks 2026 caveat_updated
291,"In the diagnostics of Kawasaki disease, the clinically significant symptoms DO NOT include:",Answer: E: pneumonia Explanation: Kawasaki disease: >=5 days fever plus mucocutaneous findings; coronary aneurysm prevention is why IVIG + aspirin matters.,caveat/updated,pediatrics leks 2026 caveat_updated
292,Haematological abnormalities are a common symptom of acute lymphoblastic leukaemia in children. Blood morphology test shows: 1) anaemia; 2) thrombocytopenia; 3) low white blood cell count; 4) normal white blood cell count; 5) high white blood cell count,"Answer: A: all of the above Explanation: ALL is the most common childhood leukaemia; prognosis depends on age, WBC, cytogenetics and early treatment response/minimal residual disease.",caveat/updated,pediatrics leks 2026 caveat_updated
293,Indicate true statements regarding mycoplasmatic pneumonia:,"Answer: B: in the course of disease, upper respiratory symptoms and mild fever develop gradually Explanation: Exam anchor: in the course of disease, upper respiratory symptoms and mild fever develop gradually. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
294,"Although the assessment of cytogenetic and molecular traits IS NOT required in the diagnosis of acute lymphoblastic leukaemia (ALL), they are among the basic classification criteria of ALL. Indicate FALSE statements regarding ALL:","Answer: E: B-ALL is always diagnosed when the number of lymphoblasts > 5% Explanation: ALL is the most common childhood leukaemia; prognosis depends on age, WBC, cytogenetics and early treatment response/minimal residual disease.",caveat/updated,pediatrics leks 2026 caveat_updated
295,"A 15-year-old boy came to the primary care unit because of fever (>38.0 C), fatigue, lack of appetite, profuse night sweats and losing weight. Physical examination confirmed weight loss (>= 10% over last six months), painless cervical and supraclavicular lymphadenopathy. Indicate the most probable diagnosis:",Answer: D: Hodgkin’s lymphoma Explanation: Exam anchor: Hodgkin’s lymphoma. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
296,"Hodgkin’s lymphoma can be diagnosed based on the findings of all measures listed below, EXCEPT for:","Answer: C: fine-needle aspiration biopsy of lymph node Explanation: Hodgkin lymphoma staging uses Ann Arbor/Cotswolds concepts; B symptoms are fever, drenching night sweats and >10% weight loss in 6 months.",valid,pediatrics leks 2026 valid
297,The leading cause of viral meningitis in children is:,"Answer: A: enteroviruses (EV) Explanation: Bacterial meningitis requires urgent empiric IV antibiotics; CSF pattern helps distinguish bacterial, viral and TB causes when LP is safe.",caveat/updated,pediatrics leks 2026 caveat_updated
298,"Early treatment of pertussis in infants (within the first seven days since the onset of symptoms) can reduce the symptoms of the disease. To effectively eradicate pertussis from the nasopharynx, you should administer:","Answer: A: macrolides Explanation: Pertussis is treated and close-contact prophylaxis is given with a macrolide, commonly azithromycin; young infants are at highest risk of severe disease.",valid,pediatrics leks 2026 valid
299,"Which is the FALSE statement concerning vaccination against measles, mumps and rubella?",Answer: A: children who were not vaccinated at the age of 6 years can only be given the misssing vaccination at the age of 10 years Explanation: Exam trap: children who were not vaccinated at the age of 6 years can only be given the misssing vaccination at the age of 10 years is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
300,"The following rules should be abided by while performing preventive vaccinations: 1) the interval between the administration of two different vaccines which contain live microorganisms should not be shorter than 4 weeks; 2) the interval between the administration of two different vaccines which DO NOT contain live microorganisms is arbitrary as long as a necessary interval to avoid the adverse events following immunisation (AEFI) overlapping with the subsequent vaccination is maintained; 3) the interval between the administration of a vaccine which contains live microorganisms, and a vaccine…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source truncates later numbered vaccination statements, so the keyed combination cannot be reconstructed reliably. Do not manufacture the missing clauses. Explanation: SOURCE TRUNCATION: the stem is cut off. Core rule: two live injectable vaccines not given on the same day should generally be separated by >=4 weeks; non-live vaccines may be given simultaneously or at any interval from other vaccines unless a product-specific rule applies. Q301-Q330",invalid/outdated,pediatrics leks 2026 invalid_outdated
301,"Which is the true statement concerning simple febrile seizures? 1) they are generalized, usually tonic-clonic; 2) their duration is below 15 minutes, usually 5 minutes; 3) they recur within 24 hours; 4) after a seizure, Todd’s paralysis is observed; 5) they are the most frequent febrile seizures","Answer: A: 1,2,5 Explanation: Exam anchor: 1,2,5. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
302,"Which are the true statements concernig whooping cough? 1) the disease starts with non-specific symptoms of a catarrhal inflammation of the airway which last 10-14 days; 2) following the inflammatory phase a paroxysmal cough occurs, which lasts 4-6 weeks; 3) a paroxysmal cough may be followed by apnoea of various duration; 4) between attacks of cough in uncomplicated whooping cough the patient’s condition is good; 5) the recovery period lasts several weeks",Answer: E: all of the above Explanation: Exam anchor: all of the above. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
303,Which is the correct procedure following a tick bite?,Answer: E: removal of the tick and disinfection of the site of the bite on the skin Explanation: Exam anchor: removal of the tick and disinfection of the site of the bite on the skin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
304,Which of the prophylactic doses of vitamin D in children are INCORRECT for the indicated age group?,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The vitamin-D concentration categories in the options use older/variable thresholds. Current Polish guidance changed the interpretation ranges, creating more than one mismatch with the old choices. Explanation: OUTDATED/MULTIPLE-ANSWER RISK: current Polish expert guidance gives 0-6 mo 400 IU/day; 6-12 mo 400-600; age 1-3 y 600; age 4-10 y 600-1000 when sun exposure is inadequate; age 11-18 y 1000-2000 when sun exposure is inadequate. Thus the old adolescent 800-IU choice and the infant 1000-2000-IU choice cannot support one clean modern SBA.",invalid/outdated,pediatrics leks 2026 invalid_outdated
305,What are the clinical symptoms of Wilms’ tumour (nephroblastoma)? 1) abdominal tumour; 2) haematuria; 3) abdominal pain; 4) anorexia; 5) hypertension,Answer: E: all of the above Explanation: Wilms tumour is a renal embryonal tumour of early childhood; avoid rough palpation/biopsy outside protocol and remember association with WAGR/Denys-Drash/Beckwith-Wiedemann.,valid,pediatrics leks 2026 valid
306,What are the clinical symptoms of neuroblastoma? 1) pallor; 2) loss of body weight; 3) bone pain; 4) exophthalmos; 5) enlargement of the cervical lymph nodes,"Answer: E: all of the above Explanation: Neuroblastoma arises from sympathetic neural crest tissue, often adrenal; urine HVA/VMA and metastatic patterns (bone/orbit) are classic exam clues.",valid,pediatrics leks 2026 valid
307,Indicate the true statements concering celiac disease: 1) Dühring’s disease is its variant. 2) not adhering to the gluten-free diet increases the risk of development of lymphomas in celiac disease patients. 3) detecting the presence of HLA DQ2 and HLA DQ8 constitutes a 100% confirmation of the diagnosis. 4) the first symptom in a child can be slowing down of the somatic development. 5) there may be a secondary occurrence of lactase deficiency,"Answer: B: 1,2,4,5 Caveat: Legacy A treats HLA-DQ2/DQ8 positivity as diagnostic confirmation. These alleles are common and mainly useful for exclusion when absent; the true set is dermatitis herpetiformis, lymphoma risk with untreated disease, growth slowing and secondary lactase deficiency -> B. Explanation: Coeliac disease can cause malabsorption, poor growth, iron deficiency and extraintestinal symptoms; screen with tTG-IgA plus total IgA while the child is eating gluten.",caveat/updated,pediatrics leks 2026 caveat_updated
308,"A 16-year-old male patient reported to a physician due to a sore throat, fever up to 39°C and enlarged cervical lymph nodes. There was a sudden onset of the symptoms. The patient DOES NOT cough, DOES NOT have a runny nose. The physical examination revealed reddening of the palatine tonsils, no abnormalities were detected, otherwise. Indicate the right further management:","Answer: D: a rapid test for Streptococcus pyogenes infection, and if the test is positive, treatment with phenoxymethylpenicillin for 10 days Explanation: Exam anchor: a rapid test for Streptococcus pyogenes infection, and if the test is positive, treatment with phenoxymethylpenicillin for 10 days. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
309,What are the most common pathogens that cause of meningitis in newborns?,"Answer: D: E. coli, Streptococcus agalactiae, Listeria monocytogenes, Klebsiella pneumoniae Caveat: Legacy E (S. pyogenes alone) is not the neonatal meningitis pathogen pattern. Neonatal disease is classically dominated by GBS and Gram-negative enteric bacilli, with Listeria included in standard empiric teaching -> D among the offered choices. Explanation: Bacterial meningitis requires urgent empiric IV antibiotics; CSF pattern helps distinguish bacterial, viral and TB causes when LP is safe.",caveat/updated,pediatrics leks 2026 caveat_updated
310,"Due to the necessity to fill the vascular bed in case of sepsis in a child who weighs 15kg, within the first ten minutes cristalloids should be administered in the volume of approximately:","Answer: D: 150 mL Explanation: 2026 paediatric sepsis: fluid boluses are 10-20 mL/kg with reassessment after each bolus; with ICU availability, up to 40-60 mL/kg may be given in the first hour if shock persists and there is no fluid overload. For 15 kg, 150 mL is a valid 10 mL/kg initial bolus.",caveat/updated,pediatrics leks 2026 caveat_updated
311,"Indicate the right diagnosis in a 3-year-old boy with the following capillary blood gas analysis parameters-pH 7.3, pCO 55 mmHg, HCO 22 mmol/L, BE -2 and pO 50 mmHg:",Answer: C: uncompensated respiratory acidosis Explanation: Exam anchor: uncompensated respiratory acidosis. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
312,Human papilloma virus infection is one of the most common viral infections. Small common warts located on the extremities may be treated with all of the following EXCEPT for:,Answer: C: a 1% mupirocin ointment Explanation: Exam trap: a 1% mupirocin ointment is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
313,Which of the following is true about pyloric hypertrophy (pylorostenosis)?,Answer: E: the treatment of choice is pyloromyotomy Explanation: Exam anchor: the treatment of choice is pyloromyotomy. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
314,Glycogenoses are rare metabolic diseases in which glycogen is stored in different organs. Which of the following is a glycogenosis connected with an enzymatic defect of lysosomal alpha- glucosidase and occurs in two variants-a childhood one and a juvenile one?,Answer: A: Pompe disease (type II) Explanation: Exam anchor: Pompe disease (type II). Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
315,Which of the following is the most common extracranial tumour occurring in children below 5 years of age?,Answer: A: neuroblastoma Explanation: Exam anchor: neuroblastoma. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
316,Which of the following is true about contagious impetigo?,Answer: C: it is characterised by the formation of blisters and spots with honey-coloured scabs Explanation: Impetigo causes superficial vesicles/pustules with honey-coloured crust; S. aureus and GAS are typical pathogens.,caveat/updated,pediatrics leks 2026 caveat_updated
317,Which of the following diseases is associated with niacin/nicotinamide deficiency?,Answer: A: pellagra Explanation: Exam anchor: pellagra. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
318,Which of the following is true about Lyme disease?,"Answer: C: doxycycline is the treatment of choice in children below 9 years of age Explanation: Lyme erythema migrans can be treated with doxycycline in children of any age; amoxicillin and cefuroxime are also first-line choices, so “the treatment of choice” is overly exclusive.",caveat/updated,pediatrics leks 2026 caveat_updated
319,Legionella pneumophila infection was a serious problem in Poland last year. Which of the following is FALSE about legionellosis?,Answer: A: in small children it occurs quite often but has a mild course Explanation: Exam trap: in small children it occurs quite often but has a mild course is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
320,Which condition IS NOT caused by bacteria from the Streptococcus group?,Answer: C: lichen planus Explanation: Exam trap: lichen planus is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
321,Cyanotic congenital heart defects include: 1) Fallot’s tetralogy; 2) dextro-transposition of the great arteries; 3) Eisenmenger syndrome; 4) ventricular septal defect; 5) aortic stenosis,"Answer: C: 1,2,3 Caveat: Legacy A includes aortic stenosis and omits Eisenmenger physiology. TOF, TGA and Eisenmenger syndrome are cyanotic; isolated VSD and aortic stenosis are typically acyanotic -> C. Explanation: Exam anchor: 1,2,3. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
322,The most common disease inherited in an autosomal recessive manner is:,Answer: A: cystic fibrosis Explanation: Exam anchor: cystic fibrosis. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
323,Iron-deficiency anaemia is characterised by: 1) increased MCV; 2) increased MCH; 3) increased ferritin; 4) increased transferrin; 5) decreased TIBC,"Answer: D: only 4 Caveat: Legacy A reverses the iron-deficiency indices. IDA has low MCV/MCH/ferritin, increased transferrin/TIBC; among the statements only increased transferrin is true -> D. Explanation: Exam anchor: only 4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
324,Which of the following statements is true about neuroblastoma? 1) it is most commonly located in the kidneys; 2) tumour cells display an increased uptake of MIBG in scintigraphy; 3) it is the most common in schoolchildren; 4) it is the most common in infants and small children; 5) it may infiltrate the bone marrow,"Answer: C: 2,4,5 Caveat: Legacy A places neuroblastoma in the kidney and school age. Neuroblastoma is usually adrenal/sympathetic, common in infants/young children, is MIBG-avid and can infiltrate marrow -> 2,4,5 = C. Explanation: Neuroblastoma arises from sympathetic neural crest tissue, often adrenal; urine HVA/VMA and metastatic patterns (bone/orbit) are classic exam clues.",caveat/updated,pediatrics leks 2026 caveat_updated
325,"A 3-year-old child has had a fever of 39.5°C for two days, which has been causing the child to wake up screaming at night and have a poor appetite. The child has had a watery runny nose for five days. Also, a purulent discharge from the right ear has been observed. What is the optimal course of action?",Answer: D: acute purulent otitis media should be diagnosed and empirical antibiotic therapy should be instituted Explanation: Exam anchor: acute purulent otitis media should be diagnosed and empirical antibiotic therapy should be instituted. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
326,"Which of the following statements are true about compulsory vaccinations in Poland? 1) vaccination against rotaviruses is performed with an intramuscular polysaccharide vaccine; 2) in the first day of a newborn’s life, the newborn is vaccinated against tuberculosis and receives the first dose of a vaccine against hepatitis B; 3) the recommended interval between two live vaccines containing attenuated pathogens is 4 weeks; 4) the MMR vaccine contains live- attenuated viral pathogens; 5) vaccination against tick-borne encephalitis is compulsory for all children below 8 years of age","Answer: B: 2,3,4 Caveat: Legacy A says rotavirus vaccine is IM polysaccharide and TBE is compulsory. Rotavirus vaccine is oral live; newborn BCG+HBV, the 4-week spacing rule for separate live parenteral vaccines, and live MMR are the true statements -> B. Explanation: Exam anchor: 2,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
327,Growth charts should be used as a point of reference for blood pressure in children. The charts take into account: 1) the age; 2) the sex; 3) the weight; 4) the height; 5) the height centile,"Answer: A: 1,2,5 Explanation: Exam anchor: 1,2,5. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
328,A pulse of 60/min in a 3-month-old infant:,Answer: C: is bradycardia Explanation: Exam anchor: is bradycardia. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
329,According to Polish recommendations: 1) the first-line course of action in the case of pneumonia in a 3-week-old child is careful observation without antibiotic therapy; 2) a mild- course community-acquired pneumonia in children between 4 months and 5 years of age may not be treated with antibiotics as most infections are viral; 3) Listeria monocytogenes is responsible for most cases of pneumonia in children above 5 years of age; 4) viral pneumonia CANNOT be distinguished from bacterial pneumonia by means of a radiological examination; 5) macrolides should be used as drugs of first choice in…,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source cuts off statement 5 and also refers to an older CAP recommendation set. Because the answer combinations depend on missing text, it cannot be safely re-keyed; use current IDSA/PIDS principles instead. Explanation: SOURCE TRUNCATION/2026 CAP UPDATE: neonates with suspected pneumonia require urgent medical assessment and antibiotics, not watchful waiting. In older preschool children many CAP cases are viral, and chest radiography alone cannot reliably distinguish viral from bacterial pneumonia. Antibiotic choice depends on age/severity and current guidance.",invalid/outdated,pediatrics leks 2026 invalid_outdated
330,Stage 1 of the Tanner scale means that:,Answer: A: the child does not display any characteristics of puberty Explanation: Tanner stage I is prepubertal; stage II marks onset of breast/testicular enlargement and sparse pubic hair. Q331-Q358,caveat/updated,pediatrics leks 2026 caveat_updated
331,"Which of the following statements are true about meningitis in children? 1) it requires an immediate institution of empirical antibiotic therapy before its aetiology is established; 2) most cases are of viral aetiology; 3) the symptoms might include: vomiting accompanied by headaches, nape stiffness, photophobia, fever; 4) cerebrospinal fluid analysis may reveal an increase in inflammatory cells and protein, regardless of the aetiology; 5) it always leads to irreversible changes in the brain","Answer: B: 2,3,4 Caveat: Legacy A includes “meningitis always causes irreversible brain changes,” which is false. Viral causes predominate overall; headache/vomiting/fever/neck stiffness/photophobia and CSF pleocytosis/protein elevation may occur across aetiologies -> 2,3,4 = B. Suspected bacterial meningitis still requires urgent empiric antibiotics. Explanation: Meningitis can be viral or bacterial. If bacterial meningitis is suspected, start empiric antibiotics immediately after cultures/LP when safe, but never delay therapy for procedures in an unstable child.",caveat/updated,pediatrics leks 2026 caveat_updated
332,"When diabetes type 1 is diagnosed in children, the following abnormalities may be observed in lab tests? 1) increased levels of glycated haemoglobin; 2) the presence of anti-GAD antibodies in the blood; 3) glycosuria; 4) a high insulin concentration in the blood; 5) metabolic alkalosis","Answer: B: 1,2,3 Caveat: Legacy A omits pancreatic autoantibodies. New T1D can show high HbA1c, anti-GAD antibodies and glycosuria; insulin is not high and DKA causes acidosis, not alkalosis -> B. Explanation: Exam anchor: 1,2,3. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
333,Congenital adrenal hyperplasia may be detected in a screening test of a newborn when a dried blood spot test reveals:,Answer: D: increased 17-hydroxyprogesterone Explanation: Exam anchor: increased 17-hydroxyprogesterone. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
334,Which of the following statements are true about constipation in children? 1) it is the most common cause of abdominal pain in children; 2) macrogols are the drugs of choice in the treatment of children above 6 months of age; 3) it is caused by a high amount of fibre in the child’s diet; 4) Hirschsprung’s disease is a common cause; 5) the treatment of functional constipation is long-lasting and often requires at least 2 months of pharmacotherapy,"Answer: A: 1,2,5 Explanation: Functional constipation is clinical (Rome criteria); investigations are reserved for alarm features or refractory/atypical disease.",valid,pediatrics leks 2026 valid
335,Calculate the basic daily fluid requirements for a 27-kg healthy child using the Holliday- Segar formula:,Answer: B: 1640 mL Explanation: Exam anchor: 1640 mL. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
336,Features characteristic of complex febrile seizures are: 1) focal onset; 2) seizure lasting <15 minutes; 3) postictal paresis; 4) >1 seizure/24 hours; 5) most frequent in children aged 6 months to 9 years; 6) history of prior brain injury,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Complex febrile seizure is defined by focality, duration >=15 minutes and/or recurrence within 24 hours; Todd paresis supports focality. The offered combinations do not align with that truth set, so the legacy answer is unsafe. Explanation: INVALID: complex febrile seizure = focal features OR duration >=15 min OR recurrence within 24 h. Todd paresis supports focality. Typical febrile-seizure age is about 6 months-5 years. The offered combinations do not match the true set.",invalid/outdated,pediatrics leks 2026 invalid_outdated
337,Differential diagnosis of Epstein-Barr virus (EBV) infection relies on specific antibodies. Select the correct antibody test result in a patient with past infection (the patient had the infection previously): 1) anti-VCA IgM-positive result; 2) anti-VCA IgM-negative result; 3) anti-VCA IgG-positive result; 4) anti-VCA IgG-negative result; 5) anti-EA IgG-positive result; 6) anti-EA IgG-negative result; 7) anti-EBNA-positive result; 8) anti-EBNA-negative result,"Answer: C: 2,3,6,7 Caveat: Legacy A describes acute infection. Past EBV infection is VCA IgM negative, VCA IgG positive, EBNA positive, and EA IgG typically negative -> 2,3,6,7 = C. Explanation: Exam anchor: 2,3,6,7. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
338,Select the FALSE statement about nephroblastoma:,"Answer: B: the basis for initiating treatment is a diagnostic biopsy with histologic examination Explanation: Wilms/nephroblastoma: routine preoperative biopsy is not the standard in classic SIOP management; treatment commonly begins with preoperative chemotherapy, and bilateral disease is stage V.",caveat/updated,pediatrics leks 2026 caveat_updated
339,Select the correct statement(s) about spinal muscular atrophy (SMA):,"Answer: E: all answers are correct Explanation: SMA: type I (Werdnig-Hoffmann) is severe infantile disease; type III (Kugelberg-Welander) begins after 18 months and has a much milder course. Tremor can occur, especially a fine postural hand tremor.",caveat/updated,pediatrics leks 2026 caveat_updated
340,"The current 2025 immunization schedule includes both mandatory and recommended vaccinations. Which of the following are recommended vaccinations? 1) BCG-vaccination against tuberculosis; 2) TBE-vaccination against tick-borne encephalitis; 3) COVID-19-vaccination against COVID-19; 4) MenB-vaccination against meningococcal serogroup B; 5) MenACWY-vaccination against meningococcal serogroups A, C, W, Y; 6) IIV-inactivated influenza vaccination; 7) LAIV-live influenza vaccination in a nasal spray; 8) MMR-vaccination against measles, mumps and rubella","Answer: C: 2,3,4,5,6,7 Caveat: Legacy A lists BCG/MMR as recommended, but they are routine mandatory vaccines in Poland. In the 2026 framework TBE, COVID-19, MenB, MenACWY and influenza vaccines are in the recommended category -> C. Explanation: Use the 2026 Polish PSO. General mandatory childhood vaccines include BCG, HBV, rotavirus, DTP, IPV, Hib, pneumococcal and MMR; varicella is mandatory for selected risk groups. Always check age-specific timing.",caveat/updated,pediatrics leks 2026 caveat_updated
341,Indicate the FALSE statement about subglottic laryngitis:,"Answer: D: in more severe cases it is also possible to use 1% nebulized adrenaline (epinephrine) at a dose of 5 mL/kg body weight Explanation: Croup: dexamethasone is standard; nebulized budesonide is an alternative. Nebulized epinephrine is used for moderate/severe croup, but “1% epinephrine 5 mL/kg” is a grossly incorrect dose/formulation statement.",caveat/updated,pediatrics leks 2026 caveat_updated
342,"Select the correct recommendations for the management of community-acquired pneumonia in children: 1) it IS NOT recommended to routinely perform blood cultures in children with community- acquired pneumonia treated on an outpatient basis; 2) blood cultures can be helpful in children with community-acquired pneumonia in severe condition; 3) it is recommended to routinely perform sputum culture and a nasopharyngeal swab in children with community-acquired pneumonia; 4) sputum culture should be performed also in children in good general condition; 5) before ordering cultures, it is recommended…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source truncates the later pneumonia statements. Because the combinations rely on missing clauses and the CAP guideline was updated in 2026, the old key cannot be safely retained. Explanation: SOURCE TRUNCATION + 2026 CAP UPDATE: outpatient uncomplicated CAP does not need routine blood cultures. Obtain cultures in severe/hospitalized or complicated disease when results could change management; routine sputum/nasopharyngeal bacterial cultures are not recommended for every well child.",invalid/outdated,pediatrics leks 2026 invalid_outdated
343,Thrombophilia DOES NOT include:,Answer: E: haemophilia A Explanation: Exam trap: haemophilia A is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
344,The first-line treatment in a 16-year-old child >40 kg with a diagnosed stage 1 essential hypertension includes all of the listed agents EXCEPT for:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Current paediatric first-line antihypertensive classes include ACEi/ARB, long-acting CCB and thiazide diuretic. Both alpha- and beta-blockers are generally not routine first-line choices, so the single-EXCEPT construction has more than one answer. Explanation: INVALID: current first-line paediatric antihypertensive classes are ACE inhibitor/ARB, long-acting calcium-channel blocker or thiazide diuretic. Both beta-blockers and alpha-blockers are generally reserved rather than routine first-line choices, so the item has more than one “EXCEPT.”",invalid/outdated,pediatrics leks 2026 invalid_outdated
345,Indicate the FALSE statement regarding the clinical staging of Hodgkin lymphoma:,"Answer: E: stage V refers to the spread to the central nervous system and cerebrospinal fluid, involvement of the lymph nodes on both sides of the diaphragm, and malignant pleural or peritoneal effusion without any other extralymphatic lesions Explanation: Hodgkin lymphoma staging uses Ann Arbor/Cotswolds concepts; B symptoms are fever, drenching night sweats and >10% weight loss in 6 months.",caveat/updated,pediatrics leks 2026 caveat_updated
346,Indicate the FALSE statement regarding acute renal failure in children:,"Answer: B: the use of sulfonamides is the most common pre-renal cause of acute renal failure Explanation: AKI in children is commonly prerenal from hypovolaemia/dehydration; renal and postrenal causes must be considered from history, urinalysis and imaging.",caveat/updated,pediatrics leks 2026 caveat_updated
